# Light Pollution Monitoring Data Format 1.0,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,
# Number of header lines: 42,,,,,,,,,
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,
# Instrument ID: KishwauketoeSQM,,,,,,,,,
# Data supplier:,,,,,,,,,
# Location name: GLAS Office,,,,,,,,,
"# Position (lat, lon, elev(m)): 42.5781, -88.5409, 879",,,,,,,,,
# Local timezone: America/Chicago,,,,,,,,,
# Time Synchronization:,,,,,,,,,
# Moving / Stationary position: STATIONARY,,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,
# Number of channels: 1,,,,,,,,,
# Filters per channel:,,,,,,,,,
# Measurement direction per channel:,,,,,,,,,
# Field of view (degrees):,,,,,,,,,
# Number of fields per line: 5,,,,,,,,,
# SQM serial number: 5123,,,,,,,,,
# SQM hardware identity: AB0JOGEO,,,,,,,,,
# SQM firmware version: 4-6-76,,,,,,,,,
# SQM cover offset value: -.11,,,,,,,,,
"# SQM readout test ix (Information): i,00000004,00000006,00000076,00005123",,,,,,,,,
"# SQM readout test rx (Reading): r, 09.55m,0000012997Hz,0000000000c,0000000.000s, 019.6C",,,,,,,,,
"# SQM readout test cx (Calibration): c,00000019.84m,0000140.239s, 020.3C,00000008.71m, 021.2C",,,,,,,,,
"# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m",,,,,,,,,
# DL time difference (seconds): 6,,,,,,,,,
# DL retrieved at (UTC): 2023-11-09T21:40:54.595,,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,
# Comment:,,,,,,,,,
# Comment:,,,,,,,,,
# Comment:,,,,,,,,,
# Comment:,,,,,,,,,
# Comment:,,,,,,,,,
# UDM version: 1.0.0.337,,,,,,,,,
# UDM setting: DL binary retrieve,,,,,,,,,
# blank line,,,,,,,,,
"# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth",,,,,,,,,
# YYYY-MM-DDTHH:mm:ss.fff,YYYY-MM-DDTHH:mm:ss.fff,Celsius,Volts,mag/arcsec^2,Init/Subs,Degrees,Degrees,Percent,Degrees
# END OF HEADER,,,,,,,,,
2023-07-18 15:37:35,2023-07-18 10:37:35,22.2,5.08,11.11,0,,,,
2023-07-18 15:40:05,2023-07-18 10:40:05,21.5,5.08,9.13,1,,,,
2023-07-18 15:45:05,2023-07-18 10:45:05,21.5,5.06,8.9,1,,,,
2023-07-18 15:50:05,2023-07-18 10:50:05,21.2,5.08,8.91,1,,,,
2023-07-18 15:55:05,2023-07-18 10:55:05,21.2,5.06,8.86,1,,,,
2023-07-18 16:00:05,2023-07-18 11:00:05,21.2,5.08,8.91,1,,,,
2023-07-18 16:05:05,2023-07-18 11:05:05,20.9,5.06,11.19,1,,,,
2023-07-18 16:10:05,2023-07-18 11:10:05,20.9,5.06,6.27,1,,,,
2023-07-18 16:15:05,2023-07-18 11:15:05,21.2,5.06,11.26,1,,,,
2023-07-18 16:20:05,2023-07-18 11:20:05,21.2,5.06,10.76,1,,,,
2023-07-18 16:25:05,2023-07-18 11:25:05,21.5,5.06,10.12,1,,,,
2023-07-18 16:30:05,2023-07-18 11:30:05,21.9,5.06,8.09,1,,,,
2023-07-18 16:35:05,2023-07-18 11:35:05,21.9,5.26,0,1,,,,
2023-07-18 16:40:05,2023-07-18 11:40:05,22.5,5.34,0,1,,,,
2023-07-18 16:45:05,2023-07-18 11:45:05,24.1,5.09,8.44,1,,,,
2023-07-18 16:50:05,2023-07-18 11:50:05,25.1,5.34,0,1,,,,
2023-07-18 16:55:05,2023-07-18 11:55:05,25.7,5.34,0,1,,,,
2023-07-18 17:00:05,2023-07-18 12:00:05,28,5.34,0,1,,,,
2023-07-18 17:05:05,2023-07-18 12:05:05,29.3,5.32,0,1,,,,
2023-07-18 17:10:05,2023-07-18 12:10:05,31.5,5.34,0,1,,,,
2023-07-18 17:15:05,2023-07-18 12:15:05,33.5,5.34,0,1,,,,
2023-07-18 17:20:05,2023-07-18 12:20:05,34.8,5.34,0,1,,,,
2023-07-18 17:25:05,2023-07-18 12:25:05,36,5.34,0,1,,,,
2023-07-18 17:30:05,2023-07-18 12:30:05,36.4,5.34,0,1,,,,
2023-07-18 17:35:05,2023-07-18 12:35:05,37,5.34,0,1,,,,
2023-07-18 17:40:05,2023-07-18 12:40:05,37,5.34,0,1,,,,
2023-07-18 17:45:05,2023-07-18 12:45:05,37.3,5.34,0,1,,,,
2023-07-18 17:50:05,2023-07-18 12:50:05,37.7,5.34,0,1,,,,
